segment_id,total_impressions,total_revenue
0,10000,0.0
1,10000,100.00000000000047
2,10000,200.00000000000094
3,10000,300.0000000000022
4,10000,400.0000000000019
5,10000,500.0000000000032
6,10000,600.0000000000044
7,10000,699.9999999999816
8,10000,800.0000000000038
9,10000,899.9999999999379
10,10000,1000.0000000000064
11,10000,1100.0000000000673
12,10000,1200.0000000000089
13,10000,1300.0000000000045
14,10000,1399.9999999999632
15,10000,1499.9999999999905
16,10000,1600.0000000000075
17,10000,1699.9999999999266
18,10000,1799.9999999998759
19,10000,1900.0000000000737
20,10000,2000.0000000000127
21,10000,2100.0000000001633
22,10000,2200.0000000001346
23,10000,2300.000000000136
24,10000,2400.0000000000177
25,10000,2500.0
26,10000,2600.000000000009
27,10000,2699.999999999857
28,10000,2799.9999999999263
29,10000,2899.9999999997813
30,10000,2999.999999999981
31,10000,3099.999999999764
32,10000,3200.000000000015
33,10000,3299.9999999997826
34,10000,3399.999999999853
35,10000,3499.99999999998
36,10000,3599.9999999997517
37,10000,3699.9999999998554
38,10000,3800.0000000001473
39,10000,3900.0000000002733
40,10000,4000.0000000000255
41,10000,4100.000000000187
42,10000,4200.0000000003265
43,10000,4299.999999999995
44,10000,4400.000000000269
45,10000,4500.000000000009
46,10000,4600.000000000272
47,10000,4699.999999999854
48,10000,4800.0000000000355
49,10000,4899.999999999813
50,10000,5000.0
51,10000,5100.000000000199
52,10000,5200.000000000018
53,10000,5300.00000000026
54,10000,5399.999999999714
55,10000,5500.0000000000155
56,10000,5599.999999999853
57,10000,5700.000000000197
58,10000,5799.9999999995625
59,10000,5900.000000000314
60,10000,5999.999999999962
61,10000,6099.999999999947
62,10000,6199.999999999528
63,10000,6300.000000000482
64,10000,6400.00000000003
65,10000,6500.00000000004
66,10000,6599.999999999565
67,10000,6700.000000000477
68,10000,6799.999999999706
69,10000,6900.000000000063
70,10000,6999.99999999996
71,10000,7100.000000000304
72,10000,7199.999999999503
73,10000,7299.999999999795
74,10000,7399.999999999711
75,10000,7500.0
76,10000,7600.000000000295
77,10000,7700.000000000228
78,10000,7800.000000000547
79,10000,7899.99999999969
80,10000,8000.000000000051
81,10000,8099.999999999992
82,10000,8200.000000000375
83,10000,8299.999999999476
84,10000,8400.000000000653
85,10000,8499.999999999967
86,10000,8599.99999999999
87,10000,8699.999999999449
88,10000,8800.000000000538
89,10000,8900.000000000062
90,10000,9000.000000000018
91,10000,9099.999999999285
92,10000,9200.000000000544
93,10000,9300.000000000015
94,10000,9399.999999999707
95,10000,9499.999999999938
96,10000,9600.000000000071
97,10000,9699.999999999647
98,10000,9799.999999999625
99,10000,9899.999999999369
100,10000,10000.0
101,10000,10100.000000000662
102,10000,10200.000000000398
103,10000,10300.000000000282
104,10000,10400.000000000036
105,10000,10500.000000000067
106,10000,10600.00000000052
107,10000,10699.999999999607
108,10000,10799.999999999429
109,10000,10900.000000000837
110,10000,11000.000000000031
111,10000,11099.999999999638
112,10000,11199.999999999705
113,10000,11300.000000000286
114,10000,11400.000000000395
115,10000,11499.999999999958
116,10000,11599.999999999125
117,10000,11700.000000000584
118,10000,11800.000000000628
119,10000,11899.999999999285
120,10000,11999.999999999924
121,10000,12099.999999999782
122,10000,12199.999999999894
123,10000,12299.999999999503
124,10000,12399.999999999056
125,10000,12500.0
126,10000,12600.000000000964
127,10000,12700.000000000513
128,10000,12800.00000000006
129,10000,12900.000000000287
130,10000,13000.00000000008
131,10000,13100.000000000862
132,10000,13199.99999999913
133,10000,13299.9999999994
134,10000,13400.000000000953
135,10000,13500.000000000073
136,10000,13599.999999999412
137,10000,13699.999999999869
138,10000,13800.000000000126
139,10000,13900.000000000608
140,10000,13999.99999999992
141,10000,14099.999999999023
142,10000,14200.000000000608
143,10000,14300.000000001028
144,10000,14399.999999999007
145,10000,14499.999999999916
146,10000,14599.99999999959
147,10000,14700.000000000056
148,10000,14799.999999999422
149,10000,14899.999999998849
150,10000,15000.0
151,10000,15100.000000001166
152,10000,15200.00000000059
153,10000,15299.99999999991
154,10000,15400.000000000457
155,10000,15500.000000000087
156,10000,15600.000000001093
157,10000,15699.999999998805
158,10000,15799.99999999938
159,10000,15900.000000001031
160,10000,16000.000000000102
161,10000,16099.99999999926
162,10000,16199.999999999984
163,10000,16300.000000000013
164,10000,16400.00000000075
165,10000,16499.999999999894
166,10000,16599.999999998952
167,10000,16700.00000000056
168,10000,16800.000000001306
169,10000,16899.999999998938
170,10000,16999.999999999935
171,10000,17099.99999999943
172,10000,17199.99999999998
173,10000,17299.999999999185
174,10000,17399.999999998898
175,10000,17500.0
176,10000,17600.000000001077
177,10000,17700.000000000895
178,10000,17800.000000000124
179,10000,17900.000000000633
180,10000,18000.000000000036
181,10000,18100.00000000088
182,10000,18199.99999999857
183,10000,18299.99999999972
184,10000,18400.000000001088
185,10000,18500.000000000124
186,10000,18600.00000000003
187,10000,18700.000000000564
188,10000,18799.999999999414
189,10000,18899.99999999988
190,10000,18999.999999999876
191,10000,19099.999999998898
192,10000,19200.000000000142
193,10000,19300.000000001513
194,10000,19399.999999999294
195,10000,19500.000000000007
196,10000,19599.99999999925
197,10000,19699.99999999958
198,10000,19799.999999998738
199,10000,19899.999999999185
200,10000,20000.0
201,10000,20100.000000000793
202,10000,20200.000000001324
203,10000,20300.0000000005
204,10000,20400.000000000797
205,10000,20499.999999999967
206,10000,20600.000000000564
207,10000,20699.999999998392
208,10000,20800.000000000073
209,10000,20900.00000000113
210,10000,21000.000000000135
211,10000,21100.000000000713
212,10000,21200.00000000104
213,10000,21299.99999999894
214,10000,21399.999999999214
215,10000,21499.99999999986
216,10000,21599.999999998858
217,10000,21699.99999999982
218,10000,21800.000000001673
219,10000,21899.999999999567
220,10000,22000.000000000062
221,10000,22099.999999999116
222,10000,22199.999999999276
223,10000,22299.99999999839
224,10000,22399.99999999941
225,10000,22500.0
226,10000,22600.00000000057
227,10000,22700.00000000166
228,10000,22800.00000000079
229,10000,22900.000000000924
230,10000,22999.999999999916
231,10000,23100.00000000032
232,10000,23199.99999999825
233,10000,23300.00000000035
234,10000,23400.000000001168
235,10000,23500.00000000015
236,10000,23600.000000001255
237,10000,23700.00000000142
238,10000,23799.99999999857
239,10000,23899.999999998687
240,10000,23999.999999999847
241,10000,24099.999999998825
242,10000,24199.999999999563
243,10000,24300.0000000018
244,10000,24399.99999999979
245,10000,24500.00000000011
246,10000,24599.999999999007
